symbol,Media,Varianza,Desviacion_Estandar,Skewness,beta,Sharpe_Ratio,Treynor_Ratio
ALSEA.MX,0.016969052909054247,0.009573230792073666,0.09784288830606783,0.6021922143172085,1.314785113680332,0.08144744137280378,0.006061106736101813
AMXB.MX,-0.004436248216211117,0.003027738992284443,0.055024894295986095,-2.4804304251225178,0.5678683437590573,-0.2441848982741481,-0.02366085090651228
ASURB.MX,0.009717208972715533,0.004493762757790359,0.06703553354595128,1.1072962980121814,0.8743090589134502,0.010698937336329302,8.203151567557207e-4
BBAJIOO.MX,-0.007714895830733315,0.006301577543720308,0.07938247630126127,1.3790680737276522,0.8511166473762707,-0.21056153208548548,-0.019638783805087316
BIMBOA.MX,-0.012391815955281946,0.0058849621112640645,0.07671350670686397,0.7901120917786706,1.2228696889548996,-0.27885331897320115,-0.017493127966532577
BOLSAA.MX,0.002354787530681013,0.0063564537221274765,0.07972737122298387,0.22425005544317506,1.1238852751716946,-0.08334919824125969,-0.005912714238829941
CEMEXCPO.MX,0.02536314677169712,0.009523116639175112,0.09758645725291554,0.016010297676973338,1.8438509450359164,0.16767845900265269,0.008874441188291594
CHDRAUIB.MX,0.017848709986790147,0.0050957570689225485,0.0713845716448768,-0.3982959548622382,0.38950241577210043,0.1239582977510969,0.02271798486602344
CUERVO.MX,-0.024785303488698528,0.010923397691893702,0.10451505964163108,0.1894084847570593,0.32062339032140286,-0.32325775447618804,-0.10537379526437884
GAPB.MX,0.018680353994902883,0.011373893959028856,0.1066484597124068,-0.16463528878382055,1.4463158632122122,0.0907688120485507,0.0066931119550906314
GCARSOA1.MX,0.019559746319851253,0.012233409973723406,0.11060474661479681,1.335613672258859,1.8108379417499498,0.0954728132656701,0.005831414328355949
GCC.MX,0.02400915434295438,0.006316834821230478,0.07947851798587137,0.4628932006857044,1.1847714759992098,0.18884542293079132,0.012668396097480314
GENTERA.MX,0.015133708208009904,0.007860858866657461,0.08866148468561454,0.43977469138510084,0.9884736237068851,0.06918120342513402,0.006205232047576365
GFNORTEO.MX,0.003895328543518539,0.0034194159910210754,0.05847577268425853,0.11660386430825688,1.0067909073847487,-0.08729549387990593,-0.005070239926720645
GMEXICOB.MX,0.019049086845203518,0.00678700903699226,0.08238330557213798,0.6786344222118307,1.4535268101876455,0.12197965079714061,0.0069135889168127655
GRUMAB.MX,0.012267816389199857,0.002058352631434241,0.04536907130892411,0.0288112889002026,0.2674618172529777,0.07202740313877831,0.012217880005313084
KIMBERA.MX,2.0624834404412993e-4,0.0039735263387932936,0.06303591308764626,-0.46914661941804836,1.0824430206337705,-0.13950383559493904,-0.0081239857325766
KOFUBL.MX,0.012008060476603253,0.002619999521927542,0.05118593089831953,0.19752463137076465,0.7607565597627792,0.0587673296902374,0.003954038171608055
LABB.MX,0.02263495063266885,0.008371371712876118,0.0914952004909335,0.2232499558284058,0.4687866289782215,0.14902367074456516,0.02908562187959139
MEGACPO.MX,-1.8897269642756826e-4,0.011845951577671323,0.10883910867731011,0.04686356920945423,1.4479832673863324,-0.08442712190588904,-0.0063460489519426766
OMAB.MX,0.017088767978589117,0.01071985552431291,0.1035367351441647,-0.6533584669334129,1.4557622028419288,0.07812461893188254,0.005556379993104836
ORBIA.MX,-0.028494456170945322,0.010479061695674982,0.10236728821100509,0.6521172342865272,1.5517145999643103,-0.3662738051012906,-0.024163242500784426
PINFRA.MX,0.010321607526616018,0.004848810465282856,0.06963340050064233,0.2520773961585875,1.0868674024700096,0.018979505770421592,0.0012159786222427317
Q.MX,0.035779918297922784,0.007686333892275274,0.08767173941627526,-0.08578112714860706,0.7673063453631838,0.3054566782434728,0.034901207920087295
RA.MX,0.003257655037410477,0.006275097374253818,0.07921551220723008,0.3814985924949824,0.8574078342440558,-0.07249015757882599,-0.0066973320434520305
TLEVISACPO.MX,-0.01503597488564575,0.0259148285276527,0.16098083279587264,0.5181071408301128,2.600016000436467,-0.14930954492031925,-0.009244548834165178
VESTA.MX,0.008470640191885388,0.004127005945491966,0.06424177725975494,0.4931472620567862,1.042113863458769,-0.008240117734822318,-5.079673408793067e-4
